return_date,product_id,store_id,quantity
1/1/2021,250,6,1
1/1/2021,628,6,1
1/1/2021,869,6,1
1/2/2021,469,11,1
1/2/2021,532,23,2
1/2/2021,742,23,1
1/2/2021,761,11,1
1/2/2021,1396,11,1
1/3/2021,1,7,1
1/3/2021,365,7,2
1/3/2021,385,7,1
1/3/2021,671,7,1
1/3/2021,1329,23,2
1/5/2021,70,15,1
1/5/2021,461,7,1
1/5/2021,469,23,1
1/5/2021,850,7,1
1/5/2021,927,7,1
1/5/2021,961,23,1
1/5/2021,987,23,1
1/5/2021,1117,23,1
1/5/2021,1292,15,1
1/5/2021,1458,23,1
1/6/2021,23,24,1
1/6/2021,40,24,2
1/6/2021,43,6,1
1/6/2021,85,24,1
1/6/2021,193,24,1
1/6/2021,464,3,1
1/6/2021,918,3,1
1/6/2021,1104,24,2
1/6/2021,1296,3,1
1/7/2021,310,13,1
1/7/2021,418,13,1
1/7/2021,599,13,1
1/7/2021,638,13,1
1/7/2021,1078,13,1
1/7/2021,1152,13,2
1/7/2021,1257,11,1
1/9/2021,132,23,1
1/9/2021,254,3,1
1/9/2021,290,3,1
1/9/2021,568,23,1
1/9/2021,1081,3,2
1/9/2021,1164,3,1
1/9/2021,1230,3,1
1/9/2021,1371,23,1
1/10/2021,12,24,2
1/10/2021,238,24,1
1/10/2021,358,24,1
1/10/2021,964,24,1
1/11/2021,75,13,1
1/11/2021,107,13,1
1/11/2021,188,13,2
1/11/2021,189,13,1
1/11/2021,229,13,2
1/11/2021,391,13,1
1/11/2021,412,24,2
1/11/2021,475,13,1
1/11/2021,484,6,1
1/11/2021,569,13,1
1/11/2021,590,13,1
1/11/2021,594,17,2
1/11/2021,669,17,2
1/11/2021,804,13,1
1/11/2021,915,24,1
1/11/2021,950,6,1
1/11/2021,959,13,1
1/11/2021,992,13,1
1/11/2021,1046,13,1
1/11/2021,1049,13,1
1/11/2021,1063,13,1
1/11/2021,1226,13,1
1/11/2021,1319,13,1
1/11/2021,1327,24,1
1/11/2021,1393,13,1
1/11/2021,1404,13,1
1/11/2021,1445,13,1
1/12/2021,361,7,1
1/12/2021,726,7,1
1/13/2021,466,17,1
1/13/2021,551,17,1
1/13/2021,592,17,1
1/13/2021,895,17,1
1/13/2021,982,17,1
1/13/2021,1107,15,2
1/13/2021,1291,3,1
1/13/2021,1523,15,2
1/13/2021,1531,17,1
1/14/2021,439,6,1
1/14/2021,1098,6,2
1/15/2021,366,24,1
1/15/2021,603,24,1
1/15/2021,879,24,1
1/15/2021,1162,24,1
1/15/2021,1179,24,1
1/16/2021,391,17,1
1/16/2021,551,17,2
1/16/2021,760,17,2
1/16/2021,1043,17,1
1/16/2021,1398,17,1
1/16/2021,1439,17,1
1/17/2021,17,6,1
1/17/2021,176,11,1
1/17/2021,194,6,2
1/17/2021,320,24,1
1/17/2021,598,24,2
1/17/2021,865,24,1
1/17/2021,952,11,2
1/17/2021,954,24,2
1/17/2021,1004,11,1
1/17/2021,1271,24,1
1/18/2021,13,15,1
1/18/2021,139,15,1
1/18/2021,360,15,1
1/18/2021,537,15,1
1/19/2021,167,7,1
1/19/2021,434,16,1
1/19/2021,455,7,1
1/19/2021,497,7,1
1/19/2021,1051,16,1
1/19/2021,1337,7,1
1/19/2021,1463,7,1
1/19/2021,1496,16,2
1/19/2021,1542,7,1
1/20/2021,93,11,1
1/20/2021,100,13,1
1/20/2021,197,16,1
1/20/2021,271,13,1
1/20/2021,443,7,1
1/20/2021,563,16,1
1/20/2021,683,11,1
1/20/2021,784,13,1
1/20/2021,860,11,1
1/20/2021,894,7,1
1/20/2021,1038,11,1
1/20/2021,1045,16,2
1/20/2021,1053,16,1
1/20/2021,1212,11,1
1/20/2021,1218,13,1
1/20/2021,1220,13,1
1/20/2021,1355,16,1
1/20/2021,1357,13,2
1/20/2021,1402,13,1
1/20/2021,1556,16,1
1/21/2021,259,3,1
1/21/2021,360,16,1
1/21/2021,486,16,1
1/21/2021,520,3,2
1/21/2021,651,13,1
1/21/2021,851,13,1
1/21/2021,921,13,1
1/21/2021,952,13,1
1/21/2021,1169,3,1
1/21/2021,1452,16,1
1/21/2021,1481,3,2
1/23/2021,179,13,1
1/23/2021,328,13,1
1/23/2021,688,13,1
1/23/2021,1432,13,2
1/23/2021,1549,13,1
1/25/2021,222,15,1
1/25/2021,324,16,1
1/25/2021,358,23,1
1/25/2021,375,16,1
1/25/2021,810,15,1
1/25/2021,814,15,2
1/25/2021,990,23,1
1/25/2021,1147,3,2
1/25/2021,1295,15,2
1/26/2021,43,17,1
1/26/2021,603,17,1
1/26/2021,1013,17,1
1/26/2021,1185,17,1
1/26/2021,1273,17,2
1/26/2021,1397,17,1
1/26/2021,1428,17,1
1/27/2021,393,15,1
1/27/2021,530,15,1
1/27/2021,623,15,2
1/28/2021,231,11,1
1/29/2021,501,17,1
1/29/2021,755,17,1
1/29/2021,936,17,1
1/29/2021,1161,17,1
1/29/2021,1293,17,2
1/29/2021,1526,17,1
2/1/2021,302,3,1
2/1/2021,663,3,1
2/1/2021,882,3,2
2/1/2021,1440,3,1
2/2/2021,637,15,1
2/2/2021,921,16,1
2/2/2021,1054,15,1
2/2/2021,1442,15,2
2/2/2021,1473,15,1
2/3/2021,97,24,2
2/3/2021,196,13,1
2/3/2021,247,15,1
2/3/2021,292,24,1
2/3/2021,466,16,1
2/3/2021,539,24,1
2/3/2021,684,15,1
2/3/2021,900,13,1
2/3/2021,928,15,1
2/3/2021,1067,13,1
2/3/2021,1140,15,1
2/3/2021,1190,24,1
2/3/2021,1201,16,2
2/3/2021,1351,13,1
2/3/2021,1464,15,1
2/4/2021,653,15,1
2/4/2021,687,15,1
2/4/2021,1244,15,1
2/4/2021,1246,15,1
2/4/2021,1275,15,2
2/5/2021,210,11,2
2/5/2021,283,11,1
2/5/2021,389,11,1
2/5/2021,642,11,1
2/5/2021,789,11,1
2/5/2021,907,24,1
2/5/2021,1076,11,2
2/5/2021,1168,6,1
2/7/2021,71,23,1
2/7/2021,260,24,1
2/7/2021,408,24,1
2/7/2021,528,6,1
2/7/2021,709,24,1
2/7/2021,1080,6,1
2/7/2021,1447,6,1
2/8/2021,175,13,1
2/8/2021,479,13,1
2/10/2021,249,17,1
2/10/2021,972,17,1
2/10/2021,1090,17,1
2/10/2021,1502,17,1
2/11/2021,28,23,1
2/11/2021,91,11,2
2/11/2021,555,23,1
2/11/2021,625,11,1
2/11/2021,668,11,1
2/11/2021,1528,23,1
2/12/2021,11,6,1
2/12/2021,231,17,2
2/12/2021,269,6,1
2/12/2021,499,7,1
2/12/2021,548,6,1
2/12/2021,551,6,1
2/12/2021,575,11,1
2/12/2021,661,7,2
2/12/2021,913,17,2
2/12/2021,978,7,1
2/12/2021,983,7,1
2/12/2021,1430,11,1
2/12/2021,1475,11,1
2/12/2021,1549,6,1
2/13/2021,105,7,1
2/13/2021,327,7,2
2/13/2021,493,7,1
2/13/2021,881,7,1
2/13/2021,951,7,1
2/13/2021,1472,7,1
2/14/2021,53,3,2
2/14/2021,362,23,1
2/14/2021,526,6,1
2/14/2021,564,23,1
